Intercept , --2.417 *** , 0.929 , 0.009 , --1.313 *** , 0.504 , 0.000 , 12.58 *** , 1.343 , 0.009
HS , 0.006 , 0.031 , 0.836                  ,  0.006 , 0.031 , 0.000          , 0.020 , 1.343 , 0.0009
AS , 0.051 * , 0.030 , 0.100            ,  0.052 * , 0.030 , 0.000    , 0.592 *** , 1.532 , 0.014
AF , 0.025 , 0.033 , 0.450                  ,  0.026 , 0.033 , 0.000          , 0.256 , 1.187 , 0.008
HC , 0.055 , 0.054 , 0.306                  , 0.058 , 0.056 , 0.000           , 0.284 , 1.075 , 0.007
AC , --0.047 , 0.052 , 0.364                ,  -0.050 , 0.055 , 0.000         , --0.200 , 1.215 , 0.009
HY , 0.034 , 0.098 , 0.730                  ,  0.034 , 0.098 , 0.000          , 0.417 , 1.135 , 0.007
AY , --0.032 , 0.097 , 0.738                ,  --0.034 , 0.103 , 0.000        , 0.306 , 1.054 , 0.007
HR , 1.390 *** , 0.326 , 0.000          ,  1.460 *** , 0.342 , 0.000  , 15.417 *** , 1.765 , 0.020
AR , --0.418 , 0.439 , 0.341                ,  --0.459 , 0.482 , 0.000        , --0.981 , 0.912 , 0.005
DERBY , -0.026 , 0.324 , 0.936              , --0.035 , 0.354 , 0.000         , --0.206 , 3.246 , 0.024
BUDH , --0.004 ** , 0.001 , 0.012       ,  --0.004 ** , 0.001 , 0.000 , --0.024 *** , 1.353 , 0.012
BUDA , 0.003 *** , 0.0009 , 0.001       ,  0.003 *** , 0.0009 , 0.000 , 0.035 *** , 1.897 , 0.020
INTERNATIONAL , 0.369 , 0.276 , 0.182       , 0.389 * , 0.282 , 0.000     , 3.139 * , 2.345 , 0.024
ACIENT , 0.001 , 0.031 , 0.968              , 0.001 , 0.031 , 0.000           , 0.042 , 1.294 , 0.009

delta ,,,,,, , --35.03*** , 6.488 , 0.1034
AIC , 433.553 ,,, 449.000 ,, , 82.56 ,  ,
DIC , 403.553 ,,, 434.096 ,, , 99.95 ,  ,
Correct Fitting , 73.68 ,,, 71.58 ,, , 100 ,  , 
